Order to Trade Ratio,Hit Ratio,Cancel to Trade Ratio,Commitment %,Zero-crossing %,Average Trade Size,Outstanding Volume,Trade Asymmetry,Aggression Asymmetry,Volume Asymmetry,Flat position despite of insignificant activity,Number of clients,Aggression,Speed of execution of trades,Net Profit,Score,Anomaly_Label
1489.811,365.33,18.6458,71.9398,367.0235,28232.1864,7422,0.3204,0.6881,80.7175,0,21135,0.8648,4449.9637,3236.3099,-0.016360479,-1
1687.1107,557.9002,26.3777,79.8889,274.5449,46011.5514,2747,0.2827,0.09,76.0296,1,16160,0.6196,2725.3718,148534.1071,-0.003658208,-1
2090.8383,2298.9197,59.5833,30.9466,89.6725,53565.5795,4057,1.0198,0.4387,67.5461,0,38227,0.5709,4831.6261,116744.1637,-0.007053814,-1
1913.873,3141.0716,67.6795,63.4466,299.4409,29283.0644,5710,1.8655,0.1003,86.5204,0,27960,0.3793,3957.6064,93315.0986,0.012364975466467476,1
650.2706,3746.5199,99.1691,8.582,196.5906,25997.1592,3562,0.3322,0.338,26.8468,1,31773,0.6222,6658.3657,136794.4476,-0.007535664,-1
1749.1707,2330.1416,186.504,47.1736,247.6748,17095.9225,6603,4.1103,0.1739,7.5193,1,3156,0.8678,2382.8664,101650.3502,0.011443868075337316,1
3131.9542,4055.1975,193.4203,62.2236,274.2802,4292.9816,3920,0.2442,0.9733,86.2187,0,32770,0.52,2418.0037,95342.6144,-0.049054434,-1
1387.8568,2510.9217,76.1802,30.9332,347.6346,29738.1354,4471,2.7249,0.2226,10.5115,0,36269,0.5511,1234.4149,37098.2474,0.024078307,1
1903.5853,670.8995,92.406,76.7109,83.1109,39712.2605,9091,2.6606,0.756,34.6086,0,23651,0.5303,1719.9401,105918.4018,-0.010766439,-1
1007.3308,3819.6167,142.4221,58.221,63.6704,13476.4628,8698,0.8693,0.028,99.3377,0,19964,0.6857,7315.0641,152906.079,-0.060383896,-1
989.5615,1204.3423,7.5366,6.9032,353.1947,17970.4819,1490,1.118,0.5532,72.3651,1,12372,0.1355,5287.7827,43192.4847,-0.01881497,-1
243.4269,4065.3475,260.1655,49.7216,145.3772,534.6786,3052,2.0537,0.117,84.0593,0,28682,0.4589,3639.4585,150175.1566,-0.042426126,-1
2005.7388,163.1067,107.3153,23.712,183.9101,37592.0507,6159,1.6434,0.0525,56.7535,1,7265,0.3573,8876.257,8253.8015,-0.017478368,-1
3761.1074,744.34,49.8063,15.372,389.9147,5989.0802,5012,2.0348,0.9637,49.9603,0,29883,0.0435,7991.8627,123716.4549,-0.056525442,-1
2551.5265,550.6625,220.6348,54.3641,373.5275,15241.9996,4564,2.2736,0.7199,25.0137,0,2587,0.9317,2751.5157,18830.8086,-0.010392404,-1
4006.3904,3738.6041,161.5794,14.6859,30.5434,28184.9413,3489,4.1647,0.1987,38.258,0,37639,0.796,4847.8057,11319.8606,-0.040775049,-1
4048.8283,2934.3059,104.2043,15.2178,328.042,32185.482,3551,2.4162,0.2836,11.0225,1,27492,0.4965,459.6094,94722.8422,-0.001150901,-1
2370.9079,2385.8779,220.8273,25.5354,66.0605,47051.7845,1324,1.5703,0.2473,26.7532,1,31501,0.246,4170.8511,138928.7995,-0.01595935,-1
3275.9522,1780.9514,6.8302,90.7346,397.253,24467.8488,1072,3.6162,0.318,26.1688,0,35955,0.0847,3332.3096,96106.8742,-0.020219952,-1
3078.2386,219.1509,248.2081,21.5845,149.2589,7003.3973,3360,2.0992,0.4422,90.1834,0,25571,0.2002,2321.6412,73588.206,-0.014202123,-1
3675.2569,194.0681,46.3429,42.9831,39.1211,25853.1363,1495,1.6399,0.4405,37.9572,1,19070,0.0042,6806.1188,112089.0417,-0.030860926,-1
3451.2399,3952.8653,73.0517,98.7724,190.9544,25590.945,6864,3.3306,0.9587,78.9146,1,28939,0.2333,1255.7767,127547.099,-0.026082261,-1
2356.8592,2493.7116,162.4594,35.2894,221.5023,54702.5377,7859,4.3984,0.9537,37.4896,1,29603,0.7574,1125.4031,95878.5875,-0.019316373,-1
58.2618,3588.0106,3.1138,87.9151,346.6446,59320.6479,9496,2.0258,0.6049,57.367,0,41516,0.9784,6720.9383,23800.6532,-0.06672625,-1
3003.0606,2575.0167,133.2948,71.7454,206.1538,4602.6191,1929,0.0808,0.968,35.0761,1,29766,0.4358,4987.8101,87600.9207,-0.02334225,-1
2998.8477,2430.6316,175.2257,89.4703,123.9437,24722.6264,7456,4.3896,0.7241,92.5593,0,12522,0.5748,8976.3366,102883.704,-0.005915767,-1
2318.5713,3611.8191,45.7078,12.0841,57.6156,57828.1129,8140,4.2208,0.0898,25.0116,0,32817,0.2541,2372.064,116306.2351,-0.048650664,-1
3824.5126,4079.0684,252.2135,41.5515,223.9225,33470.5781,4512,4.6398,0.1544,16.3955,1,7505,0.2753,4195.2321,36579.9658,-0.038905069,-1
2027.6083,4130.7822,275.0181,46.1987,192.6331,21634.0509,1416,1.7486,0.1507,88.3736,0,7936,0.3413,488.8371,68475.6934,-0.034328967,-1
3096.5478,2595.1417,251.659,27.4319,279.8865,46762.6927,8426,3.6349,0.5593,70.6738,1,35856,0.9596,4564.0633,16955.5101,-0.025409658,-1
2562.6719,2738.0568,198.6906,32.7106,14.9013,1603.1916,3922,3.1371,0.78,77.8934,0,33590,0.5419,2401.7301,24365.9916,-0.038411139,-1
1299.0046,1349.6272,235.2918,78.0164,277.6465,35960.5863,5665,3.406,0.9603,0.7298,0,26492,0.1569,7237.868,117446.6196,-0.044273299,-1
3205.8985,33.1251,213.9136,1.2727,261.7562,13485.2796,7892,2.9974,0.5508,90.4608,1,22435,0.055,927.5704,90844.2265,-0.056784089,-1
1070.7516,3813.639,255.715,27.0421,249.0184,5454.5035,4049,3.0451,0.9926,78.3367,0,23389,0.3336,538.4281,21775.3738,-0.028093898,-1
597.7801,3700.7513,258.6388,69.8192,359.4101,22171.1992,3692,0.6938,0.1098,99.9442,0,16538,0.1213,7480.7398,148277.5734,-0.062397685,-1
2312.5707,2221.6087,43.2043,3.9078,139.6271,30185.1648,5593,3.6999,0.7906,8.2492,0,7355,0.3196,620.814,98930.7196,-0.00735265,-1
1209.6563,4011.4902,132.1937,8.4345,65.3526,1776.3275,9613,3.2666,0.2913,85.5191,1,5687,0.6934,6321.9252,151653.4981,-0.057673535,-1
2169.1107,1077.1602,247.6396,85.7954,187.2057,19415.3451,7754,1.9956,0.9534,21.6839,0,14071,0.8265,591.3914,176.0941,-0.012223729,-1
1829.7709,2371.6108,279.6816,23.4815,352.9975,5419.2854,7523,1.1632,0.6475,60.6218,0,8062,0.5265,7900.4453,92664.7088,-0.001195199,-1
1517.731,458.8074,191.5054,30.687,119.1599,12516.7736,8417,1.9965,0.573,72.3081,1,17863,0.7693,5314.3988,69012.0569,0.015234022551992132,1
1290.0885,1470.3112,235.3628,51.2581,180.308,23155.4427,9778,1.3275,0.0278,15.5757,1,4872,0.9097,224.6248,149774.4681,-0.006454745,-1
1340.4518,3586.2687,71.0555,9.3597,174.706,26597.7037,8631,4.4642,0.3267,87.7339,1,41971,0.6369,1802.3718,1686.2833,-0.047424933,-1
1186.3387,3552.0888,89.4421,42.3029,4.4824,47844.1267,6729,0.5351,0.0203,4.6004,0,3146,0.5659,8811.9445,52606.6555,-0.06731049,-1
3435.2103,2872.4929,255.1896,16.1777,93.6494,4919.8193,7147,3.9438,0.3017,22.5821,0,729,0.4781,6413.2703,30234.0387,-0.028397978,-1
4150.382,2551.0267,256.5332,19.3214,165.2252,196.2703,9944,3.6078,0.2132,54.9486,1,1251,0.8782,268.6799,118991.5838,-0.055821443,-1
2084.5461,1568.7462,282.9678,17.5314,187.136,23722.2592,8140,0.5178,0.2864,72.8954,1,12139,0.0514,3210.4255,11863.4123,-0.023044202,-1
1434.055,3071.3319,66.1208,52.2412,12.7377,5918.3577,3513,3.7532,0.0109,84.706,1,27223,0.9099,6990.9617,56583.1397,-0.053358405,-1
3207.8262,3888.6088,0.5696,37.2323,195.7977,35652.5707,2690,1.0082,0.5854,67.9904,1,25236,0.0251,2975.5642,26747.1272,-0.034545536,-1
677.415,3278.6594,186.7218,74.1353,208.5501,36215.4849,3612,4.7409,0.4864,73.5141,1,9218,0.2371,2464.3213,16298.7732,-0.007397439,-1
1076.9891,859.235,129.9212,81.1379,98.1713,27943.124,5323,3.3225,0.5315,60.3413,1,254,0.9937,7149.154,163222.7612,-0.007379077,-1
907.069,3141.3323,54.8953,90.9538,19.4948,13449.2314,8038,1.4241,0.3762,71.3803,1,35874,0.0875,1339.733,163176.4344,-0.0448432,-1
4147.4658,1647.4809,75.0745,86.11,322.8616,18390.0571,3905,1.0487,0.7646,60.2292,0,19982,0.1124,4093.3179,99747.3115,-0.018024638,-1
2913.0307,3054.5159,260.1539,26.6439,338.5221,5115.4026,3204,4.0572,0.4056,62.4339,1,29305,0.0451,5590.1275,31285.8536,-0.04539594,-1
2396.2642,3027.4548,226.1804,21.6853,166.1375,21777.3472,3263,0.0527,0.9008,13.358,0,3640,0.0654,5172.8255,134095.8965,-0.034727159,-1
3948.3269,1836.1504,131.0491,32.5145,68.7685,58100.2033,2961,3.4777,0.423,45.8058,1,14458,0.8204,524.6354,45026.8467,-0.025155083,-1
1543.6811,3279.9249,289.5248,65.0247,313.4789,38286.3716,6489,1.14,0.0348,89.2005,0,34871,0.7797,2622.6323,35771.8897,-0.018821317,-1
3776.8681,1403.0106,160.3795,29.7338,226.7697,30635.1365,2403,3.3853,0.4553,55.6161,0,42509,0.0217,6819.4508,77703.8694,-0.00621209,-1
1670.9777,1888.1859,40.5373,85.8426,314.0782,10087.7314,8858,3.6024,0.5265,15.3417,1,10092,0.4681,8426.1043,105606.2012,-0.003411713,-1
3381.7365,1843.4892,26.4311,50.4458,345.9957,9345.7118,4772,3.4487,0.5046,78.0032,0,19746,0.142,3024.904,25961.12,-0.023722862,-1
3191.3053,2233.3901,274.9608,14.5986,119.7055,15459.4401,5012,2.2491,0.0981,85.6868,1,28545,0.0127,3195.0525,86825.849,-0.027004405,-1
1076.0038,3996.6526,149.6803,0.6315,386.3949,54670.7157,2005,3.62,0.8945,21.8209,1,11919,0.308,1857.7726,111339.8017,-0.048149944,-1
3475.8955,2706.0037,92.8911,16.1382,338.5586,2502.044,4324,4.7879,0.1054,2.7946,1,3820,0.5845,4767.9394,102294.4251,-0.047240093,-1
726.1708,1222.5545,244.8192,63.4904,227.9786,19359.7204,1729,3.9196,0.7249,73.8428,0,38802,0.4777,3400.9949,136629.9576,0.009835252,1
1540.9592,2076.042,113.2115,15.3524,137.0854,4684.7088,1674,4.0294,0.1494,46.0737,0,6400,0.0177,2296.0462,72560.4119,-0.01139515,-1
2491.2908,1197.6699,96.9833,17.3155,68.7106,44608.6109,1803,4.0161,0.4976,5.9847,1,18879,0.15,1623.0855,128938.5713,-0.003708037,-1
69.7843,2324.6625,55.7122,74.5582,373.124,31819.927,6398,4.5278,0.641,49.7906,0,15120,0.7297,2080.3946,144513.4039,-0.004221078,-1
3661.1258,1376.1096,210.0817,28.3425,21.2221,45227.0049,8388,1.7283,0.5928,53.0001,0,4598,0.1046,3836.9586,132435.8017,-0.01416765,-1
197.2022,2726.0086,267.2171,95.192,199.7284,4636.6748,1088,1.7666,0.5318,81.905,0,24235,0.1828,7014.9534,43622.4476,-0.013770723,-1
2975.5983,127.8645,202.2204,91.2721,11.0211,29801.41,1023,3.5397,0.2363,70.7508,1,44263,0.0459,1032.3666,140184.3758,-0.066501591,-1
146.6761,2236.6253,214.7664,4.215,254.3012,25500.8626,4310,1.0082,0.5998,89.9607,1,31297,0.188,2057.2485,102058.7217,-0.034743633,-1
3504.184,2215.799,113.0961,73.6624,22.433,58535.1399,7410,1.7996,0.8814,60.9807,1,35932,0.671,7356.542,144114.8555,-0.039297932,-1
3856.9044,1923.599,23.3523,54.33,393.0016,58838.0606,2476,0.8124,0.7382,23.5324,0,26251,0.8966,4787.8973,144875.3338,-0.002854211,-1
1306.4119,2210.9936,203.5169,10.6693,299.2414,29727.292,6816,3.0191,0.8428,50.4457,1,6968,0.5947,5138.1597,88946.9545,0.004126839,1
2579.1945,3243.1612,32.1523,29.6139,236.3846,2815.8887,1337,0.7693,0.4102,64.4068,1,41724,0.382,1290.1251,126749.6658,-0.012869208,-1
632.3769,3823.6452,143.8597,83.2601,144.6969,20517.1625,2552,0.5965,0.242,68.705,0,10658,0.955,1700.4818,63438.5708,-0.001310228,-1
1417.8514,4155.8348,254.9272,10.4361,70.8972,33538.3617,7671,0.9334,0.5359,87.0231,0,26215,0.2282,5236.0847,31212.311,-0.027195107,-1
2396.6196,225.2715,196.8869,75.3892,266.4762,44601.9111,1934,0.8408,0.9127,41.225,0,14149,0.0258,7007.8362,139925.7899,-0.039868059,-1
858.2342,3430.145,32.5456,75.2279,272.3406,46986.9932,2010,3.771,0.0103,52.9008,0,34489,0.9027,6030.9136,75905.4324,-0.030895478,-1
1080.1154,3945.791,276.4702,18.619,165.2548,6503.8139,8043,0.9303,0.073,92.3904,1,843,0.175,5067.2412,56685.2516,-0.067828241,-1
3715.2501,0.8104,107.2554,25.0417,380.7217,22582.609,9732,2.9667,0.8985,7.5144,1,31340,0.544,7706.3395,93124.8432,-0.043867463,-1
1009.7304,1520.8187,189.2971,62.4298,255.7495,6913.3745,3245,1.2858,0.5659,84.1287,0,27592,0.2955,1048.9974,80169.8307,0.004430455,1
2297.1672,1386.8343,84.6101,14.4212,189.5811,27540.9073,1497,3.2987,0.7545,71.6997,1,1669,0.9128,8721.5729,38122.7586,-0.018669999,-1
1626.2477,2147.1348,170.1009,9.0756,210.8475,5142.1041,2364,3.5867,0.2372,61.5257,0,15361,0.3069,549.456,127691.9147,-0.011712638,-1
2937.5045,308.3278,45.0422,4.8683,267.6199,29529.844,7524,0.162,0.2215,12.511,1,16153,0.2728,4970.6304,85184.2626,-0.015426275,-1
894.8262,582.3905,16.6688,80.6304,57.6381,36258.4925,7703,3.045,0.3527,12.3669,0,37967,0.5896,526.2799,23612.3103,-0.033620824,-1
1686.5718,526.5855,287.9068,71.0522,378.5872,9426.0073,7251,2.0378,0.5065,32.8356,1,24387,0.7176,4647.3304,24503.7347,-0.020489076,-1
3992.1889,733.6228,103.8508,81.8741,121.7361,24977.2863,4727,2.2934,0.3233,27.1811,0,25239,0.2562,8003.9885,60482.5159,-0.004705082,-1
4003.215,1260.1227,13.0039,54.1972,167.3492,27240.0719,8179,0.4777,0.813,49.2261,0,44442,0.5209,3310.4632,47299.2053,0.000508612,1
196.2599,3620.9817,10.1491,15.5513,378.2239,2382.1871,4679,1.5075,0.0841,93.8163,0,38879,0.155,7345.6844,750.7677,-0.092833084,-1
1050.7843,3073.58,231.9084,17.9674,236.9459,14048.821,7840,4.7926,0.093,6.5721,0,30042,0.3804,7676.2769,89254.6921,-0.042782694,-1
1878.7674,69.7444,228.6511,14.4634,11.239,23008.5317,4667,3.8754,0.0091,62.6558,0,42287,0.1785,3287.8517,28408.9396,-0.046227125,-1
2161.7618,1873.8033,136.1167,24.2164,127.6604,47323.3898,4472,2.1643,0.7972,55.5837,1,38198,0.0445,5219.8423,20721.537,0.001388105,1
1728.0927,2064.6609,41.1658,92.7778,347.3076,30254.9882,7682,4.7749,0.113,13.0081,0,8535,0.7577,3590.2394,7602.2127,-0.026916354,-1
2909.3669,3159.1152,219.1944,3.4183,124.7547,54679.6744,1165,4.7627,0.6729,90.0414,0,36875,0.0047,3780.1098,9691.1152,-0.062588929,-1
3079.5742,2876.1897,258.7147,18.7492,148.6832,8558.7526,2072,1.5137,0.6362,19.1194,1,36484,0.5444,6246.5636,27454.4923,-0.009909944,-1
2074.1667,1882.1852,44.3103,38.3657,323.2195,54452.1581,3870,3.2339,0.4321,97.9758,0,15656,0.9253,468.8527,42022.1641,-0.012443249,-1
790.8619,267.3926,116.0359,22.3519,278.9799,20270.2084,3125,2.7684,0.2121,88.5902,1,40802,0.0822,4119.7186,50805.6823,-0.020792898,-1
860.0672,15.7384,8.6344,88.3613,29.5733,25368.5148,5637,1.389,0.777,65.2824,1,8902,0.6868,8106.7717,72349.4845,-0.037339203,-1
2328.5669,1770.794,280.2143,70.5334,275.9532,45511.4081,2702,1.9982,0.3672,86.8577,0,31956,0.6681,3530.9707,153576.9028,0.002563441,1
2534.725,3525.4383,181.6653,84.9916,239.7919,10561.2019,7481,3.9703,0.667,30.5737,1,16199,0.0606,1486.4102,41233.6872,-0.019961018,-1
4086.5056,460.7671,121.5531,52.2245,176.5182,2121.2881,3419,4.0689,0.9788,73.9916,1,2798,0.2982,1388.3745,136091.5396,-0.079034746,-1
3518.7926,3466.418,80.9998,49.4014,381.3967,1801.8553,8004,4.3861,0.9552,22.4587,1,10062,0.511,4261.8196,155616.596,-0.043009152,-1
1571.5033,3478.1326,41.1434,35.7253,264.1504,29279.5158,7784,1.855,0.1091,74.7717,0,39810,0.647,8218.3033,99550.9755,-0.004340943,-1
3138.2859,2764.8523,241.5927,77.1177,129.1589,40454.5802,4502,0.8219,0.2447,31.2236,1,36704,0.6762,3123.3711,58663.4119,-0.000484606,-1
45.278,3093.6687,211.8298,46.2452,84.8869,7876.2425,9897,2.3148,0.1796,54.9094,1,15364,0.729,4671.6006,141180.374,-0.004781891,-1
1747.3465,818.9346,107.1897,30.9217,339.8366,57957.3233,4330,0.9805,0.4129,13.1454,1,21800,0.0108,1975.4709,57532.7755,-0.017969131,-1
1828.5461,3195.1063,292.3366,90.5648,52.4971,23609.3852,4999,1.6539,0.4096,96.5296,1,7197,0.4774,979.5348,107304.9866,-0.006295179,-1
2486.6235,4161.1228,192.5025,13.8552,197.3349,47929.5221,1641,1.6293,0.366,81.8926,1,35609,0.1395,5602.7163,98378.2336,-0.018898301,-1
1491.9787,3911.6352,258.1934,11.5281,198.7046,35663.8061,7914,0.4483,0.0792,14.0419,0,41814,0.7204,2803.035,15651.4408,-0.025158468,-1
104.2437,2506.7248,130.9541,73.9711,329.0288,60375.0647,1057,1.242,0.1558,73.6388,0,5828,0.3295,748.2757,9778.2444,-0.030277855,-1
290.5389,296.7978,55.9719,34.4252,317.717,45228.9163,7481,3.2019,0.0708,96.7107,1,44508,0.6484,2242.8846,38812.0189,-0.035459887,-1
268.9236,3733.2702,83.6754,62.0949,1.5725,43446.7084,8731,4.3265,0.4706,6.2785,1,27854,0.5221,2759.0647,1938.7445,-0.046994385,-1
1955.5105,2224.7718,157.4074,11.2609,240.4667,13926.1303,5032,2.1473,0.3538,98.9772,0,30720,0.2724,2140.5088,54292.8936,0.015057866771116202,1
2219.9476,3490.5151,285.924,80.2444,252.962,37173.1177,8648,3.3333,0.0658,98.8414,0,24982,0.1817,2172.2587,119282.581,-0.025383089,-1
1029.9249,456.4137,110.379,77.856,1.4271,44200.117,9560,3.6094,0.867,76.4536,1,5651,0.8625,2095.2967,33658.0674,-0.037069765,-1
4029.4283,206.167,196.9745,78.377,41.7861,32667.7096,5856,1.157,0.8999,74.1057,1,29801,0.2161,4571.5296,143051.1497,-0.049463123,-1
3029.9821,2105.2754,220.4806,49.9933,36.8582,23909.7857,1401,2.2374,0.6408,94.8624,1,3083,0.7043,3603.4159,95470.7776,-0.009664191,-1
2136.4982,1499.4824,259.7589,20.0457,276.6677,58614.4216,8870,3.8225,0.9067,95.8716,0,31817,0.0689,2746.3474,142891.3173,-0.032744815,-1
3449.2708,3609.5867,208.0813,12.0379,339.999,28154.7782,4394,0.8585,0.6112,53.684,0,3717,0.6323,6187.8833,36326.124,0.006009808,1
1551.6337,1275.8608,221.3548,35.3032,119.3171,26704.6604,9711,1.8656,0.0687,48.4073,0,6168,0.6404,1627.0972,75665.2385,0.004802476,1
2440.5478,3236.117,73.9338,58.5288,291.0241,44538.2204,6091,2.6028,0.1339,85.3998,0,34887,0.9691,2653.3796,141664.5904,-0.018311245,-1
693.7416,3891.471,279.5012,59.2237,315.6206,10374.7753,6056,3.1711,0.9673,10.4178,0,26013,0.3923,295.961,136044.0646,-0.03679664,-1
1240.0864,2748.396,89.8866,17.1619,18.3223,10408.8814,3932,4.3148,0.3124,77.9148,0,25003,0.2012,5161.8954,37678.283,-0.038440058,-1
1354.378,1109.1298,263.6857,20.1764,67.2898,19257.2577,1426,1.1442,0.0167,87.9866,1,5337,0.4646,2713.7229,125063.8896,-0.030418395,-1
1605.6107,3798.3198,201.1464,90.385,294.9806,34962.1439,9347,4.5963,0.5852,60.6042,1,26233,0.2963,5932.0765,114226.6412,0.001909128,1
3299.2724,2722.5631,36.0942,62.1348,59.3657,2911.9191,1255,2.9666,0.3328,43.3349,0,36656,0.6661,4880.0714,11397.907,-0.041535553,-1
2868.547,50.4044,126.3213,99.5144,324.5098,20091.576,9733,1.3113,0.6462,42.4895,1,32097,0.9376,2388.0509,111280.6818,-0.000497338,-1
931.2458,169.326,256.683,27.922,67.6089,48980.5069,9341,2.5054,0.9991,20.1443,1,35115,0.2716,5460.5351,120796.3313,-0.042413242,-1
3627.1858,163.5744,165.2927,80.763,10.3544,15719.3536,3578,1.2088,0.1151,48.1699,0,15268,0.1674,4410.7596,658.3046,-0.04418775,-1
2342.1256,1454.4109,110.3514,19.0362,358.2389,60016.3526,8078,3.6651,0.06,82.2124,1,17880,0.3647,963.9621,109615.8346,-0.026329347,-1
1423.8715,1692.2935,58.7739,52.0837,264.5604,7222.687,9210,2.1344,0.0991,54.7018,0,25415,0.5632,7330.3888,45684.8244,-0.004550213,-1
1949.1935,4067.9385,210.2496,40.5778,106.1927,2800.8224,5124,2.8441,0.9428,79.6502,1,29818,0.0767,4904.0392,32794.8954,-0.039423859,-1
120.6551,2438.8613,149.751,79.0158,17.3331,32100.3458,3259,0.5826,0.8449,8.1998,0,19250,0.96,5244.1915,9554.0613,-0.047357278,-1
864.8585,2787.7698,229.0094,9.3002,68.315,41963.2824,6070,0.728,0.2409,7.9414,0,4142,0.4562,4653.4844,23788.831,-0.038176308,-1
718.0072,1962.9166,41.6601,14.2411,19.3626,11942.3553,1608,4.6389,0.9513,84.55,0,2838,0.8756,2434.9907,93847.617,-0.051686624,-1
127.4895,3144.0055,60.956,23.1553,150.2064,25236.4107,8572,0.4594,0.0812,25.7261,0,36116,0.772,5834.2901,135870.8972,-0.022401952,-1
